Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
29,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,0,Y,No,23,4,4,1,6,3,3,5,4,0,4,No
31,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,1,Y,No,17,3,2,0,1,4,3,1,1,1,0,No
32,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,1,Y,No,17,3,2,2,10,3,3,10,4,0,9,No
36,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,3,Y,No,12,3,2,0,5,3,3,1,0,0,0,No
31,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,1,Y,No,23,4,4,0,11,2,3,11,7,1,8,No
35,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,0,Y,No,14,3,2,0,16,2,3,15,13,2,8,No
45,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,4,Y,Yes,14,3,2,0,17,3,4,0,0,0,0,No
37,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,4,Y,No,13,3,1,0,16,3,4,5,2,0,2,No
46,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,8,Y,Yes,22,4,4,1,16,2,3,4,2,0,2,No
30,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,1,Y,Yes,12,3,3,2,10,1,2,10,8,3,0,No
35,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,1,Y,No,18,3,1,0,6,3,3,6,4,0,4,No
55,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,3,Y,No,14,3,4,1,24,4,3,1,0,1,0,No
38,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,7,Y,Yes,12,3,4,3,17,3,3,13,11,1,9,No
34,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,1,Y,No,15,3,3,0,5,2,3,5,2,1,3,No
56,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,4,Y,No,11,3,1,0,37,3,2,6,4,0,2,No
23,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,3,Y,No,13,3,3,1,3,3,3,0,0,0,0,No
51,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,3,Y,No,23,4,2,2,10,4,3,4,2,0,3,No
30,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,1,Y,No,19,3,1,3,11,3,3,11,10,10,8,No
46,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,1,Y,No,16,3,4,0,9,3,3,9,8,4,7,Yes
40,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,1,Y,No,22,4,4,1,22,3,2,22,3,11,11,No
51,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,0,Y,Yes,22,4,4,0,11,2,1,10,7,1,0,No
30,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,1,Y,Yes,12,3,2,3,11,4,2,11,8,2,7,No
46,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,2,Y,Yes,13,3,3,1,21,5,2,10,9,9,5,No
32,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,1,Y,No,16,3,1,0,12,0,3,11,8,5,7,No
54,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549,9,Y,No,12,3,1,1,16,5,1,4,3,0,3,No
24,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999,0,Y,No,21,4,1,1,4,2,2,3,2,0,2,No
28,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,1,Y,No,15,3,2,0,5,3,4,5,4,0,4,No
58,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872,0,Y,No,13,3,3,0,38,1,2,37,10,1,8,No
44,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042,4,Y,No,12,3,3,1,17,3,4,3,2,1,2,No
37,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073,4,Y,Yes,22,4,4,0,7,3,3,3,2,0,2,Yes
32,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956,1,Y,No,13,3,4,0,1,2,3,1,0,0,0,No
20,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926,1,Y,Yes,18,3,2,0,1,5,3,1,0,1,0,Yes
34,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,4809,1,Y,No,14,3,3,0,16,3,3,16,13,2,10,No
37,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,5,Y,No,14,3,4,1,17,2,4,1,0,0,0,No
59,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,18844,9,Y,No,21,4,4,1,30,3,3,3,2,2,2,No
50,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,18172,3,Y,Yes,19,3,1,0,28,1,2,8,3,0,7,No
25,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744,1,Y,Yes,11,3,4,0,6,1,3,6,4,0,3,Yes
25,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,2889,1,Y,No,11,3,3,2,2,2,3,2,2,2,1,No
22,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871,1,Y,No,15,3,3,0,1,5,3,0,0,0,0,No
51,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484,3,Y,No,20,4,3,0,23,1,2,13,12,12,8,No
34,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,6074,1,Y,Yes,24,4,4,0,9,3,3,9,7,0,6,Yes
54,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,17328,2,Y,Yes,12,3,3,0,23,3,3,5,3,4,4,No
24,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,2774,0,Y,No,12,3,3,1,6,2,3,5,3,1,2,No
34,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,4505,6,Y,No,15,3,3,1,12,3,3,1,0,0,0,No
37,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,7428,2,Y,No,12,3,1,0,12,3,3,5,3,1,3,No
34,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631,2,Y,No,12,3,4,0,14,6,3,11,10,5,8,No
36,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,9738,0,Y,No,14,3,3,1,10,6,3,9,7,2,8,No
36,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,5,Y,No,22,4,1,1,7,2,3,1,0,0,0,No
43,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,16959,1,Y,Yes,12,3,4,2,25,3,4,25,12,4,12,No
30,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613,1,Y,No,25,4,3,3,10,2,2,10,7,0,9,No
33,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,6146,0,Y,No,13,3,1,1,8,2,4,7,7,0,7,No
56,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,4963,9,Y,Yes,18,3,1,3,7,2,3,5,4,4,3,Yes
51,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,19537,7,Y,No,13,3,3,0,23,5,3,20,18,15,15,No
31,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172,4,Y,Yes,18,3,2,0,12,3,2,7,7,7,7,Yes
26,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,2368,1,Y,No,19,3,3,0,5,3,2,5,4,4,3,No
58,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,10312,1,Y,No,12,3,4,1,40,3,2,40,10,15,6,Yes
19,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1675,1,Y,Yes,19,3,4,0,0,2,2,0,0,0,0,Yes
22,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523,0,Y,No,14,3,3,1,3,2,3,2,1,2,1,No
49,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,6567,1,Y,No,14,3,3,0,16,2,2,15,11,5,11,No
43,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,4739,4,Y,No,12,3,4,0,18,2,3,3,2,1,2,No
50,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,9208,4,Y,No,11,3,4,0,16,3,3,2,2,2,1,No
31,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,4559,3,Y,Yes,11,3,3,1,4,2,3,2,2,2,2,Yes
41,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,8189,3,Y,Yes,13,3,3,1,12,2,3,9,7,0,7,No
26,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,2942,1,Y,No,23,4,4,1,8,3,3,8,7,5,7,No
36,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,6,Y,No,20,4,4,2,7,0,3,3,2,0,1,No
51,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,10650,2,Y,No,15,3,4,0,18,2,3,4,2,0,3,Yes
39,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,5902,4,Y,No,14,3,3,1,17,1,4,15,11,5,9,No
25,Travel_Rarely,959,Sales,28,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,8639,2,Y,No,18,3,4,0,6,3,3,2,2,2,2,No
30,Travel_Rarely,1240,Human Resources,9,3,Human Resources,3,Male,48,3,2,Human Resources,4,Married,6347,0,Y,Yes,19,3,4,0,12,2,1,11,9,4,7,No
32,Travel_Rarely,1033,Research & Development,9,3,Medical,1,Female,41,3,1,Laboratory Technician,1,Single,4200,7,Y,No,22,4,1,0,10,2,4,5,4,0,4,Yes
45,Travel_Rarely,1316,Research & Development,29,3,Medical,3,Male,83,3,1,Research Scientist,4,Single,3452,5,Y,No,13,3,2,0,9,2,2,6,5,0,3,No
38,Travel_Rarely,364,Research & Development,3,5,Technical Degree,4,Female,32,3,2,Research Scientist,3,Single,4317,3,Y,Yes,20,4,2,0,19,2,3,3,2,2,2,No
30,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,Female,75,3,1,Research Scientist,3,Single,2632,1,Y,No,14,3,3,0,5,4,2,5,4,0,4,No
32,Travel_Frequently,689,Sales,9,2,Medical,4,Male,35,1,2,Sales Executive,4,Divorced,4668,0,Y,No,17,3,4,3,9,2,4,8,7,0,7,No
30,Travel_Rarely,201,Research & Development,5,3,Technical Degree,4,Female,84,3,1,Research Scientist,1,Divorced,3204,5,Y,No,14,3,4,1,8,3,3,3,2,2,2,No
30,Travel_Rarely,1427,Research & Development,2,1,Medical,2,Male,35,2,1,Laboratory Technician,4,Single,2720,0,Y,No,13,3,4,0,6,3,3,5,3,1,2,No
41,Travel_Frequently,857,Research & Development,10,3,Life Sciences,4,Male,91,2,4,Manager,1,Divorced,17181,4,Y,No,13,3,2,1,21,2,2,7,6,7,7,No
41,Travel_Rarely,933,Research & Development,9,4,Life Sciences,3,Male,94,3,1,Laboratory Technician,1,Married,2238,2,Y,No,21,4,4,1,7,2,3,5,0,1,4,No
19,Travel_Rarely,1181,Research & Development,3,1,Medical,2,Female,79,3,1,Laboratory Technician,2,Single,1483,1,Y,No,14,3,4,0,1,3,3,1,0,0,0,No
40,Travel_Frequently,1395,Research & Development,26,3,Medical,2,Female,54,3,2,Research Scientist,2,Divorced,5605,1,Y,No,11,3,1,1,20,2,3,20,7,2,13,No
35,Travel_Rarely,662,Sales,1,5,Marketing,3,Male,94,3,3,Sales Executive,2,Married,7295,1,Y,No,13,3,1,2,10,3,3,10,8,0,6,No
53,Travel_Rarely,1436,Sales,6,2,Marketing,2,Male,34,3,2,Sales Representative,3,Married,2306,2,Y,Yes,20,4,4,1,13,3,1,7,7,4,5,No
45,Travel_Rarely,194,Research & Development,9,3,Life Sciences,2,Male,60,3,2,Laboratory Technician,2,Divorced,2348,8,Y,No,18,3,3,1,20,2,1,17,9,0,15,No
